[2017-10-21 11:42:17,125] [WARNING] [CONSUMER-88][国产剧]最好的我们...未绑定分类，跳过。
[2017-10-21 11:42:17,130] [INFO] [CONSUMER-89][动作片]拳霸江湖...新加入库，成功。
[2017-10-21 11:42:17,131] [WARNING] [CONSUMER-90][国产剧]剑谍...未绑定分类，跳过。
[2017-10-21 11:42:17,131] [WARNING] [CONSUMER-91][国产剧]遇见爱情的利先生...未绑定分类，跳过。
[2017-10-21 11:42:17,132] [WARNING] [CONSUMER-92][国产剧]我和我的他们...未绑定分类，跳过。
[2017-10-21 11:42:17,134] [WARNING] [CONSUMER-93][国产剧]星空中的潘朵拉...未绑定分类，跳过。
[2017-10-21 11:42:17,135] [WARNING] [CONSUMER-94][国产剧]单亲妈妈...未绑定分类，跳过。
[2017-10-21 11:42:17,137] [WARNING] [CONSUMER-95][日韩剧]钢铁人...未绑定分类，跳过。
[2017-10-21 11:42:17,138] [WARNING] [CONSUMER-96][国产剧]兄弟兄弟...未绑定分类，跳过。
[2017-10-21 11:42:17,138] [WARNING] [CONSUMER-97][港台剧]俏摩女抢头婚...未绑定分类，跳过。
[2017-10-21 11:42:17,140] [WARNING] [CONSUMER-98][国产剧]天使的微笑...未绑定分类，跳过。
[2017-10-21 11:42:17,141] [WARNING] [CONSUMER-99][国产剧]奶爸的爱情生活...未绑定分类，跳过。
[2017-10-21 11:42:17,141] [WARNING] [CONSUMER-100][国产剧]电视剧有戏...未绑定分类，跳过。
[2017-10-21 11:42:17,142] [DEBUG] [PRODUCER-qiyi]page:5:crawling finished.
[2017-10-21 11:42:17,144] [INFO] [PRODUCER-qiyi]采集次数:100,新增入库:9条,新增加播放组:2条,更新播放组:0条。
[2017-10-21 11:42:17,144] [DEBUG] [PRODUCER-qiyi]page:6:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=6&h=
[2017-10-21 11:42:17,546] [WARNING] [CONSUMER-101][喜剧片]喵星人 粤语...未绑定分类，跳过。
[2017-10-21 11:42:17,549] [WARNING] [CONSUMER-102][国产剧]陆贞传奇...未绑定分类，跳过。
[2017-10-21 11:42:17,551] [WARNING] [CONSUMER-103][日韩剧]来自星星的你 国语...未绑定分类，跳过。
[2017-10-21 11:42:17,552] [WARNING] [CONSUMER-104][国产剧]贤妻...未绑定分类，跳过。
[2017-10-21 11:42:17,553] [WARNING] [CONSUMER-105][国产剧]烽火佳人...未绑定分类，跳过。
[2017-10-21 11:42:17,555] [WARNING] [CONSUMER-106][国产剧]百万新娘之爱无悔...未绑定分类，跳过。
[2017-10-21 11:42:17,556] [WARNING] [CONSUMER-107][国产剧]独生子...未绑定分类，跳过。
[2017-10-21 11:42:17,558] [WARNING] [CONSUMER-108][国产剧]幸福在哪里...未绑定分类，跳过。
[2017-10-21 11:42:17,563] [INFO] [CONSUMER-109][剧情片]一个陌生女人的来劲...新加入库，成功。
[2017-10-21 11:42:17,569] [INFO] [CONSUMER-110][剧情片]云烟深处...新加入库，成功。
[2017-10-21 11:42:17,575] [INFO] [CONSUMER-111][剧情片]我的奇葩婚礼...新加入库，成功。
[2017-10-21 11:42:17,578] [INFO] [CONSUMER-112][剧情片]俺的闺女俺的儿...新加入库，成功。
[2017-10-21 11:42:17,578] [WARNING] [CONSUMER-113][港台剧]原來是美男 台湾版...未绑定分类，跳过。
[2017-10-21 11:42:17,579] [WARNING] [CONSUMER-114][国产剧]老米家的婚事...未绑定分类，跳过。
[2017-10-21 11:42:17,579] [WARNING] [CONSUMER-115][国产剧]倾城绝恋...未绑定分类，跳过。
[2017-10-21 11:42:17,581] [WARNING] [CONSUMER-116][国产剧]爱闪亮...未绑定分类，跳过。
[2017-10-21 11:42:17,581] [WARNING] [CONSUMER-117][国产剧]老有所依...未绑定分类，跳过。
[2017-10-21 11:42:17,582] [WARNING] [CONSUMER-118][国产剧]江湖正道...未绑定分类，跳过。
[2017-10-21 11:42:17,582] [WARNING] [CONSUMER-119][国产剧]东北剿匪记...未绑定分类，跳过。
[2017-10-21 11:42:17,582] [WARNING] [CONSUMER-120][国产剧]爱情自有天意...未绑定分类，跳过。
[2017-10-21 11:42:17,582] [DEBUG] [PRODUCER-qiyi]page:6:crawling finished.
[2017-10-21 11:42:17,584] [INFO] [PRODUCER-qiyi]采集次数:120,新增入库:13条,新增加播放组:2条,更新播放组:0条。
[2017-10-21 11:42:17,584] [DEBUG] [PRODUCER-qiyi]page:7:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=7&h=
[2017-10-21 11:42:18,012] [WARNING] [CONSUMER-121][喜剧片]圣公会主学堂...未绑定分类，跳过。
[2017-10-21 11:42:18,013] [WARNING] [CONSUMER-122][国产剧]非缘勿扰...未绑定分类，跳过。
[2017-10-21 11:42:18,013] [WARNING] [CONSUMER-123][喜剧片]出汗大胡子...未绑定分类，跳过。
[2017-10-21 11:42:18,016] [WARNING] [CONSUMER-124][喜剧片]天赐良机...未绑定分类，跳过。
[2017-10-21 11:42:18,016] [WARNING] [CONSUMER-125][国产剧]回家的诱惑...未绑定分类，跳过。
[2017-10-21 11:42:18,017] [WARNING] [CONSUMER-126][国产剧]你是我的兄弟...未绑定分类，跳过。
[2017-10-21 11:42:18,019] [WARNING] [CONSUMER-127][国产剧]迷案1937...未绑定分类，跳过。
[2017-10-21 11:42:18,020] [WARNING] [CONSUMER-128][国产剧]不如跳舞...未绑定分类，跳过。
[2017-10-21 11:42:18,023] [WARNING] [CONSUMER-129][日韩剧]仍想结婚的女人...未绑定分类，跳过。
[2017-10-21 11:42:18,023] [WARNING] [CONSUMER-130][国产剧]回家的欲望...未绑定分类，跳过。
[2017-10-21 11:42:18,026] [WARNING] [CONSUMER-131][国产剧]爱要有你才完美...未绑定分类，跳过。
[2017-10-21 11:42:18,026] [WARNING] [CONSUMER-132][国产剧]雷哥老范...未绑定分类，跳过。
[2017-10-21 11:42:18,026] [WARNING] [CONSUMER-133][国产剧]闪婚...未绑定分类，跳过。
[2017-10-21 11:42:18,028] [WARNING] [CONSUMER-134][国产剧]保姆与保安...未绑定分类，跳过。
[2017-10-21 11:42:18,029] [WARNING] [CONSUMER-135][爱情片]爱出色...未绑定分类，跳过。
[2017-10-21 11:42:18,029] [WARNING] [CONSUMER-136][国产剧]胡杨女人...未绑定分类，跳过。
[2017-10-21 11:42:18,029] [WARNING] [CONSUMER-137][国产剧]婚前协议...未绑定分类，跳过。
[2017-10-21 11:42:18,030] [WARNING] [CONSUMER-138][综艺]紫龙防务观察...未绑定分类，跳过。
[2017-10-21 11:42:18,032] [WARNING] [CONSUMER-139][日韩动漫]偶活学园[偶像活动]Stars! 第2季...未绑定分类，跳过。
[2017-10-21 11:42:18,032] [WARNING] [CONSUMER-140][电影]山村诡怨...未绑定分类，跳过。
[2017-10-21 11:42:18,032] [DEBUG] [PRODUCER-qiyi]page:7:crawling finished.
[2017-10-21 11:42:18,033] [INFO] [PRODUCER-qiyi]采集次数:140,新增入库:13条,新增加播放组:2条,更新播放组:0条。
[2017-10-21 11:42:18,035] [DEBUG] [PRODUCER-qiyi]page:8:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=8&h=
[2017-10-21 11:42:18,473] [WARNING] [CONSUMER-141][电影]昆仑决...未绑定分类，跳过。
[2017-10-21 11:42:18,473] [WARNING] [CONSUMER-142][综艺]都市快报晚间版...未绑定分类，跳过。
[2017-10-21 11:42:18,474] [WARNING] [CONSUMER-143][爱情片]青春变奏曲...未绑定分类，跳过。
[2017-10-21 11:42:18,476] [WARNING] [CONSUMER-144][国产剧]七妹...未绑定分类，跳过。
[2017-10-21 11:42:18,476] [WARNING] [CONSUMER-145][国产剧]乱世新娘...未绑定分类，跳过。
[2017-10-21 11:42:18,476] [WARNING] [CONSUMER-146][国产剧]血雨母子情...未绑定分类，跳过。
[2017-10-21 11:42:18,477] [WARNING] [CONSUMER-147][国产剧]大女当嫁...未绑定分类，跳过。
[2017-10-21 11:42:18,479] [WARNING] [CONSUMER-148][国产剧]道德底线...未绑定分类，跳过。
